Run;Epoch;precision;recall;f1;accuracy;learning_rate;weight_decay;batch_size;training_loss;evaluation_loss
1;1;0.0;0.0;0.0;0.8137771918259723;2E-05;0.01;4;0.467400;0.460975
2;2;0.0;0.0;0.0;0.8137771918259723;2E-05;0.01;4;0.417100;0.399098
3;3;1.0;0.008912655971479501;0.017667844522968195;0.8160767449553423;2E-05;0.01;4;0.366200;0.335520
4;4;0.8103975535168195;0.4934823091247672;0.6134259259259258;0.8813499111900532;2E-05;0.01;4;0.279800;0.263810
5;5;0.743859649122807;0.8217054263565892;0.7808471454880295;0.9132653061224489;2E-05;0.01;4;0.199000;0.203258
6;6;0.7713787085514834;0.8717948717948718;0.8185185185185185;0.927888153053716;2E-05;0.01;4;0.148900;0.170042
7;7;0.7910714285714285;0.8824701195219123;0.8342749529190208;0.9348630643967432;2E-05;0.01;4;0.114800;0.162700
8;8;0.7668918918918919;0.9025844930417495;0.8292237442922373;0.9310980103168754;2E-05;0.01;4;0.099300;0.156390
9;9;0.8102189781021898;0.88;0.8473282442748092;0.9405867062755291;2E-05;0.01;4;0.096100;0.148229
10;10;0.8314176245210728;0.87;0.8493150684931506;0.9426870115370302;2E-05;0.01;4;0.071400;0.145851
11;11;0.8320754716981132;0.8802395209580839;0.8554801163918526;0.9445684523809523;2E-05;0.01;4;0.056000;0.147621
12;12;0.8348968105065666;0.8846918489065606;0.8590733590733591;0.9456643096390026;2E-05;0.01;4;0.046800;0.149465
13;13;0.8445297504798465;0.8782435129740519;0.8610567514677104;0.9470741707044353;2E-05;0.01;4;0.054000;0.153423
14;14;0.8419047619047619;0.8822355289421158;0.861598440545809;0.9469951474430758;2E-05;0.01;4;0.046400;0.155252
15;15;0.8451242829827916;0.8822355289421158;0.86328125;0.9477611940298507;2E-05;0.01;4;0.027300;0.159330
16;16;0.8527131782945736;0.8782435129740519;0.8652900688298919;0.9488615154908548;2E-05;0.01;4;0.027500;0.165273
17;17;0.8497109826589595;0.8802395209580839;0.8647058823529413;0.9485074626865672;2E-05;0.01;4;0.024300;0.167386
18;18;0.8512720156555773;0.8682634730538922;0.8596837944664032;0.9470149253731344;2E-05;0.01;4;0.025500;0.168142
19;19;0.8365019011406845;0.88;0.8576998050682263;0.9455427079447967;2E-05;0.01;4;0.012400;0.168233
20;20;0.8377862595419847;0.88;0.8574218749999999;0.9455223880597015;2E-05;0.01;4;0.013800;0.171129
21;21;0.8473581213307241;0.87;0.8565776458951533;0.9458348898020171;2E-05;0.01;4;0.023900;0.175984
22;22;0.8439306358381503;0.88;0.8596663395485771;0.9466218738335199;2E-05;0.01;4;0.015900;0.175231
23;23;0.8365019011406845;0.88;0.8576998050682263;0.9455630126771066;2E-05;0.01;4;0.015100;0.175231
24;24;0.8380952380952381;0.88;0.8585365853658538;0.9459157030958597;2E-05;0.01;4;0.014500;0.175622
-1;-1;0.8380952380952381;0.88;0.8585365853658538;0.9459157030958597;2E-05;0.01;4;0;0
0;0;0.8273235144743525;0.8810167658193618;0.8533263488737559;0.9457942115961668;2E-05;0.01;4;0;0
