/Users/asdc/Proyectos/time_line_extraction/prueba.csv,50 años,9,16,P50Y,DURATION
/Users/asdc/Proyectos/time_line_extraction/prueba.csv,enero de 2004,41,54,2004-01,DATE
/Users/asdc/Proyectos/time_line_extraction/prueba.csv,enero de 2006,317,330,2006-01,DATE
/Users/asdc/Proyectos/time_line_extraction/prueba.csv,abril de 2006,421,434,2006-04,DATE
/Users/asdc/Proyectos/time_line_extraction/prueba.csv,3 meses,525,532,P3M,DURATION
/Users/asdc/Proyectos/time_line_extraction/prueba.csv,tres meses,1901,1911,P3M,DURATION
/Users/asdc/Proyectos/time_line_extraction/prueba.csv,50 años,9,16,P50Y,DURATION
/Users/asdc/Proyectos/time_line_extraction/prueba.csv,enero de 2004,41,54,2004-01,DATE
/Users/asdc/Proyectos/time_line_extraction/prueba.csv,enero de 2006,317,330,2006-01,DATE
/Users/asdc/Proyectos/time_line_extraction/prueba.csv,abril de 2006,421,434,2006-04,DATE
/Users/asdc/Proyectos/time_line_extraction/prueba.csv,3 meses,525,532,P3M,DURATION
/Users/asdc/Proyectos/time_line_extraction/prueba.csv,tres meses,1901,1911,P3M,DURATION
/Users/asdc/Proyectos/time_line_extraction/prueba.csv,50 años,9,16,P50Y,DURATION
/Users/asdc/Proyectos/time_line_extraction/prueba.csv,enero de 2004,41,54,2004-01,DATE
/Users/asdc/Proyectos/time_line_extraction/prueba.csv,enero de 2006,317,330,2006-01,DATE
/Users/asdc/Proyectos/time_line_extraction/prueba.csv,abril de 2006,421,434,2006-04,DATE
/Users/asdc/Proyectos/time_line_extraction/prueba.csv,3 meses,525,532,P3M,DURATION
/Users/asdc/Proyectos/time_line_extraction/prueba.csv,tres meses,1901,1911,P3M,DURATION
/Users/asdc/Proyectos/time_line_extraction/prueba.csv,50 años,9,16,P50Y,DURATION
/Users/asdc/Proyectos/time_line_extraction/prueba.csv,enero de 2004,41,54,2004-01,DATE
/Users/asdc/Proyectos/time_line_extraction/prueba.csv,enero de 2006,317,330,2006-01,DATE
/Users/asdc/Proyectos/time_line_extraction/prueba.csv,abril de 2006,421,434,2006-04,DATE
/Users/asdc/Proyectos/time_line_extraction/prueba.csv,3 meses,525,532,P3M,DURATION
/Users/asdc/Proyectos/time_line_extraction/prueba.csv,tres meses,1901,1911,P3M,DURATION
/Users/asdc/Proyectos/time_line_extraction/prueba.csv,50 años,9,16,P50Y,DURATION
/Users/asdc/Proyectos/time_line_extraction/prueba.csv,enero de 2004,41,54,2004-01,DATE
/Users/asdc/Proyectos/time_line_extraction/prueba.csv,enero de 2006,317,330,2006-01,DATE
/Users/asdc/Proyectos/time_line_extraction/prueba.csv,abril de 2006,421,434,2006-04,DATE
/Users/asdc/Proyectos/time_line_extraction/prueba.csv,3 meses,525,532,P3M,DURATION
/Users/asdc/Proyectos/time_line_extraction/prueba.csv,tres meses,1901,1911,P3M,DURATION
/Users/asdc/Proyectos/time_line_extraction/prueba.csv,50 años,9,16,P50Y,DURATION
/Users/asdc/Proyectos/time_line_extraction/prueba.csv,enero de 2004,41,54,2004-01,DATE
/Users/asdc/Proyectos/time_line_extraction/prueba.csv,enero de 2006,317,330,2006-01,DATE
/Users/asdc/Proyectos/time_line_extraction/prueba.csv,abril de 2006,421,434,2006-04,DATE
/Users/asdc/Proyectos/time_line_extraction/prueba.csv,3 meses,525,532,P3M,DURATION
/Users/asdc/Proyectos/time_line_extraction/prueba.csv,tres meses,1901,1911,P3M,DURATION
/Users/asdc/Proyectos/time_line_extraction/prueba.csv,50 años,9,16,P50Y,DURATION
/Users/asdc/Proyectos/time_line_extraction/prueba.csv,enero de 2004,41,54,2004-01,DATE
/Users/asdc/Proyectos/time_line_extraction/prueba.csv,enero de 2006,317,330,2006-01,DATE
/Users/asdc/Proyectos/time_line_extraction/prueba.csv,abril de 2006,421,434,2006-04,DATE
/Users/asdc/Proyectos/time_line_extraction/prueba.csv,3 meses,525,532,P3M,DURATION
/Users/asdc/Proyectos/time_line_extraction/prueba.csv,tres meses,1901,1911,P3M,DURATION
/Users/asdc/Proyectos/time_line_extraction/prueba.csv,50 años,9,16,P50Y,DURATION
/Users/asdc/Proyectos/time_line_extraction/prueba.csv,enero de 2004,41,54,2004-01,DATE
/Users/asdc/Proyectos/time_line_extraction/prueba.csv,enero de 2006,317,330,2006-01,DATE
/Users/asdc/Proyectos/time_line_extraction/prueba.csv,abril de 2006,421,434,2006-04,DATE
/Users/asdc/Proyectos/time_line_extraction/prueba.csv,3 meses,525,532,P3M,DURATION
/Users/asdc/Proyectos/time_line_extraction/prueba.csv,tres meses,1901,1911,P3M,DURATION
